,Genome,Genus,Species
0,GCF_003382595.2,Pectobacterium,aquaticum
1,GCF_003628695.1,Pectobacterium,parmentieri
2,GCF_000808515.1,Pectobacterium,carotovorum
3,GCF_002804265.1,Pectobacterium,atrosepticum
4,GCF_002887555.1,Dickeya,zeae
5,GCF_002921295.1,Pectobacterium,versatile A
6,GCF_016944555.1,Pectobacterium,brasiliense
7,GCF_013449605.1,Pectobacterium,versatile A
8,GCF_017656535.1,Dickeya,fangzhongdai
9,GCF_016949295.1,Pectobacterium,brasiliense
10,GCF_016949355.1,Pectobacterium,brasiliense
11,GCF_016949955.1,Pectobacterium,versatile A
12,GCF_013449535.1,Pectobacterium,brasiliense
13,GCF_003600975.1,Dickeya,solani
14,GCF_001742145.1,Pectobacterium,parmentieri
15,GCF_016944295.1,Pectobacterium,brasiliense
16,GCF_018361245.1,Dickeya,dianthicola
17,GCF_000260925.1,Pectobacterium,parmentieri
18,GCF_004296725.1,Pectobacterium,versatile A
19,GCF_002906725.1,Dickeya,dianthicola
20,GCF_002904105.1,Pectobacterium,carotovorum
21,GCF_003628735.1,Pectobacterium,parmentieri
22,GCF_003312345.1,Pectobacterium,peruviense
23,GCF_002904055.1,Pectobacterium,carotovorum
24,GCF_016949515.1,Pectobacterium,brasiliense
25,GCF_016949855.1,Pectobacterium,brasiliense
26,GCF_017255075.1,Pectobacterium,brasiliense
27,GCF_018361185.1,Dickeya,dianthicola
28,GCF_000808435.1,Pectobacterium,carotovorum
29,GCF_002904145.1,Pectobacterium,carotovorum
30,GCF_002983505.1,Pectobacterium,versatile A
31,GCF_013449685.1,Pectobacterium,brasiliense A
32,GCF_018634035.1,Pectobacterium,atrosepticum
33,GCF_017897585.1,Dickeya,oryzae
34,GCF_000400505.1,Musicola,paradisiaca
35,GCF_900129615.1,Pectobacterium,carotovorum
36,GCF_000406265.1,Dickeya,dadantii
37,GCF_003725615.1,Dickeya,undicola
38,GCF_003990515.2,Pectobacterium,brasiliense
39,GCF_000808495.1,Pectobacterium,carotovorum
40,GCF_000757625.1,Pectobacterium,parmentieri
41,GCF_016864995.1,Pectobacterium,carotovorum
42,GCF_000808145.1,Pectobacterium,brasiliense
43,GCF_000808195.1,Pectobacterium,brasiliense
