Genus,Species,Distribution,Climate,Plant hosts,Group,References,Countries,Notes
Pectobacterium,brasiliense,Global,Variable,Variable,1,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.119196#core-ref-42; https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.119196 https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.119196#core-ref-65,Global,"Range of temperatures and host species; 17-37oC air temp; temperate, Soil, irrigation water, plant debris; infect through wounds in plant; plant vascular system; infected seeds; warm temperate and trpical climates 0  - +18"
Pectobacterium,carotovorum,Global,Variable,Variable,1,https://bsppjournals.onlinelibrary.wiley.com/doi/10.1111/j.1364-3703.2012.00804.x; https://link.springer.com/article/10.1007/s11274-022-03366-6; ,Global,Hetereogrenous; Geographically widely distributed;  ‘quorum sensing’ through which the pathogen controls the elaboration of the virulence determinants in concert with bacterial cell population density 
Pectobacterium,atrosepticum,Northern hemisphere,Colder climates,Limited – Maize specialisation,2,https://bsppjournals.onlinelibrary.wiley.com/doi/10.1111/j.1364-3703.2012.00804.x; https://link.springer.com/article/10.1007/s11274-022-03366-6;  https://apsjournals.apsnet.org/doi/full/10.1094/MPMI-06-21-0130-A?rfr_dat=cr_pub++0pubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org; https://apsjournals.apsnet.org/doi/epdf/10.1094/PHYTO-97-9-1150 ; https://dergipark.org.tr/en/download/article-file/2217300,Northern hemisphere,"Largely confined to colder climates( average temp < 25oC); limited plant host range, primarily Potato; maybe more widely distrubted than expected outisde of agriculter in europe and world wide"
Pectobacterium,aquaticum,Europe,Fresh water,Variable,3,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003229#tab2; https://www.mdpi.com/1660-4601/18/9/5041,Europe,"Freshwater river streams, Potato and chicory leaves tested"
Pectobacterium,parmentieri,Northern hemisphere,Variable,Potato,4,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.48069201#core-ref-23; https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.48069201 https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.48069201#core-ref-23 ,"Europe, Canada, USA, New Zealand, South Africa",Potato
Pectobacterium,aroidearum,Asia and South America,Variable,Monocotyledonous plants,5,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.046011-0#tab2; https://link.springer.com/article/10.1007/s10658-015-0743-3 https://apsjournals.apsnet.org/doi/full/10.1094/PDIS-10-21-2238-PDN?rfr_dat=cr_pub++0pubmed&url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org; https://apsjournals.apsnet.org/doi/full/10.1094/PDIS-08-16-1168-PDN; ,"China, Lebanon, Brazil",Preference for monocotyledonous plants
Pectobacterium,peruviense,Europe and South America,Variable and fresh water,Potato,6,https://www.sciencedirect.com/science/article/pii/S0723202017301716?via%3Dihub;  https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-018-0332-0 ; https://environmentalmicrobiome.biomedcentral.com/articles/10.1186/s40793-018-0332-0  ; https://www.sciencedirect.com/science/article/abs/pii/S0723202017301716 ; https://dergipark.org.tr/en/download/article-file/2217300 ,"Peru, France, Turkey","High altitude, river, potato tubler"
Pectobacterium,polaris,Europe and Asia,Variable,Variable,7,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002448#tab2; https://apsjournals.apsnet.org/doi/abs/10.1094/PDIS-01-23-0045-PDN?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed; https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003029 ; https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002448 ,"China, Russia, Norway, Pakistan",Potato and food crops
Pectobacterium,brasiliense A,Unknown,Variable,Variable,1,,Unknown,"Range of temperatures and host species; 17-37oC air temp; temperate, Soil, irrigation water, plant debris; infect through wounds in plant; plant vascular system; infected seeds; warm temperate and trpical climates 0  - +18"
Pectobacterium,polonicum,Europe and Asia,Variable,Variable,7,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003387#tab2,"Poland, China","Ground water of vegetable field; Potato, chicory leaves"
Pectobacterium,punjabense,Europe and Asia,Warmer climate,Limited,8,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003029#tab2; https://www.mdpi.com/2076-2607/10/9/1840; https://www.mdpi.com/microorganisms/microorganisms-09-00781/article_deploy/html/images/microorganisms-09-00781-g003-550.jpg; https://www.mdpi.com/microorganisms/microorganisms-09-00781/article_deploy/html/images/microorganisms-09-00781-g003-550.jpg; https://www.mdpi.com/microorganisms/microorganisms-09-00781/article_deploy/html/images/microorganisms-09-00781-g003-550.jpg,"Pakistan, Russia (serbia), China, Poland","Potato (limited plant host range like atrospeticum); Warm climate (17-28, 10-32) "
Pectobacterium,actinidiae,Asia,Trees/tropical,Fruit trees,9,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003611#tab2; ,Asia,"Asian pair trees, kiwifruit canker"
Pectobacterium,wasabiae,Global,Variable,Variable,1,https://journals.asm.org/doi/10.1128/genomeA.00214-14?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed; https://apsjournals.apsnet.org/doi/10.1094/PDIS-01-13-0112-PDN?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed ; https://link.springer.com/article/10.1007/s10658-009-9551-y ; https://link.springer.com/article/10.1007/s10658-012-0084-4 ,"Northern hemisphere, New zealand and south africa","Potato and range of food crops, roots"
Pectobacterium,zantedeschiae,Europe and Asia,Variable,Potato and ornamentals,7,https://pubmed.ncbi.nlm.nih.gov/30885535/ ; https://www.sciencedirect.com/science/article/abs/pii/S0723202018302194 ,"Poland, Russia",
Pectobacterium,odoriferum,Global,Variable,Variable,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003611#tab2,Global,Hetereogrenous; Geographically widely distributed;  ‘quorum sensing’ through which the pathogen controls the elaboration of the virulence determinants in concert with bacterial cell population density 
Pectobacterium,versatile,Global,Variable,Variable,1,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003611#tab2,Global,Hetereogrenous; Geographically widely distributed;  ‘quorum sensing’ through which the pathogen controls the elaboration of the virulence determinants in concert with bacterial cell population density 
Dickeya,dadantii,Global,Tropical,Variable,8,https://bsppjournals.onlinelibrary.wiley.com/doi/10.1111/j.1364-3703.2012.00804.x; https://bsppjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-3059.2011.02427.x ,Global,Mainly tropical and substropical enviroments; wide host range
Dickeya,dianthicola,Global,Variable,Variable,1,https://www.mdpi.com/2076-2607/9/2/316; https://www.mdpi.com/2076-2607/10/5/1024; ,Global,
Dickeya,solani,Europe and Asia,Variable,Potato,7,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.120278; https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.120278#core-ref-13; https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.120278#core-ref-76,Europe and Asia,
Dickeya,fangzhongdai,Asia,Variable,Variable – Includes trees,9,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-5332-3; https://pubmed.ncbi.nlm.nih.gov/27045848/; https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.005059#tab2 ,"China, Japan",Can infect trees; soil; plant; water
Dickeya,aquatica,Europe,Fresh water,Variable – Poor potato virulence,3,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.058693-0#tab2,Europe,Freshwater river streams
Dickeya,oryzae,Europe and Asia,Variable and fresh water,Variable – Rice specialisation,10,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004265#tab2; https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.005059#tab2 ; https://www.frontiersin.org/articles/10.3389/fpls.2022.1033192/full ,Europe and Asia,"Rice, fresh water, or potato strains"
Dickeya,undicola,Europe and Asia,Fresh water,Variable,3,https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003497#tab2; http://www.ncbi.nlm.nih.gov/pubmed/30078365,Europe and Asia,Potato and Onion
