,Family,Genus,MeanFreq,SdFreq
0,CBM50,Pectobacterium,4.96,0.35
1,CE8,Pectobacterium,1.92,0.27
2,GH1,Pectobacterium,9.35,1.13
3,GH103,Pectobacterium,1.48,0.5
4,GH105,Pectobacterium,1.99,0.07
5,GH13,Pectobacterium,3.01,0.51
6,GH23,Pectobacterium,6.86,1.44
7,GH28,Pectobacterium,3.79,0.53
8,GH3,Pectobacterium,2.2,0.46
9,GT19,Pectobacterium,1.0,0.0
10,GT2,Pectobacterium,8.87,2.16
11,GT30,Pectobacterium,1.0,0.0
12,GT4,Pectobacterium,4.56,1.53
13,GT51,Pectobacterium,3.06,0.45
14,GT9,Pectobacterium,3.55,0.59
15,PL1,Pectobacterium,5.65,0.67
16,PL9,Pectobacterium,1.98,0.14
17,CBM50,Dickeya,4.98,0.15
18,CE8,Dickeya,1.79,0.41
19,GH1,Dickeya,4.69,0.74
20,GH103,Dickeya,1.9,0.3
21,GH105,Dickeya,2.09,0.35
22,GH13,Dickeya,1.97,0.18
23,GH23,Dickeya,5.99,1.6
24,GH28,Dickeya,3.21,0.86
25,GH3,Dickeya,3.0,0.21
26,GT19,Dickeya,1.0,0.0
27,GT2,Dickeya,11.54,2.18
28,GT30,Dickeya,1.0,0.0
29,GT4,Dickeya,8.1,2.03
30,GT51,Dickeya,3.0,0.15
31,GT9,Dickeya,4.06,0.23
32,PL1,Dickeya,6.78,0.9
33,PL9,Dickeya,2.96,0.21
34,CBM50,Musicola,5.0,0.0
35,CE8,Musicola,1.0,0.0
36,GH1,Musicola,6.0,1.0
37,GH103,Musicola,1.0,0.0
38,GH105,Musicola,2.0,0.0
39,GH13,Musicola,2.0,0.0
40,GH23,Musicola,4.0,0.0
41,GH28,Musicola,2.0,0.0
42,GH3,Musicola,3.0,0.0
43,GT19,Musicola,1.0,0.0
44,GT2,Musicola,8.0,0.0
45,GT30,Musicola,1.0,0.0
46,GT4,Musicola,8.0,0.0
47,GT51,Musicola,3.0,0.0
48,GT9,Musicola,4.0,0.0
49,PL1,Musicola,6.0,0.0
50,PL9,Musicola,3.0,0.0
