,CAZyClass,Genus,MeanCazyClass,SdCazyClass,MeanClassPerc,SdClassPerc,NumOfGenomes
0,GH,Pectobacterium,49.24,3.38,44.15,1.94,188
1,GH,Dickeya,42.08,3.57,37.03,2.11,90
2,GH,Musicola,36.0,1.0,38.7,0.66,2
3,GT,Pectobacterium,33.77,3.9,30.2,2.29,188
4,GT,Dickeya,40.91,3.32,36.07,2.82,90
5,GT,Musicola,35.0,0.0,37.64,0.4,2
6,PL,Pectobacterium,15.22,1.32,13.65,0.98,188
7,PL,Dickeya,16.96,1.71,14.92,1.27,90
8,PL,Musicola,12.0,0.0,12.9,0.14,2
9,CE,Pectobacterium,7.21,0.92,6.46,0.68,188
10,CE,Dickeya,7.02,0.68,6.19,0.56,90
11,CE,Musicola,6.0,0.0,6.45,0.07,2
12,AA,Pectobacterium,1.01,0.08,0.89,0.09,150
13,AA,Dickeya,1.0,0.0,0.87,0.04,47
14,AA,Musicola,0.0,0.0,0.0,0.0,2
15,CBM,Pectobacterium,9.08,0.93,8.14,0.72,188
16,CBM,Dickeya,7.64,1.19,6.72,0.9,90
17,CBM,Musicola,6.0,0.0,6.45,0.07,2
