,CAZyClass,Genus,MeanTotalFams,SdTotalFams,MeanFams,SdFams,MeanFamsPerc,SdFamsPerc,NumOfGenomes
0,GH,Pectobacterium,23.84,1.39,2.23,0.48,9.4,2.13,188
1,GH,Dickeya,23.94,1.41,2.59,0.63,10.88,2.83,90
2,GH,Musicola,22.0,0.0,3.0,0.0,13.64,0.0,2
3,GT,Pectobacterium,16.22,1.57,1.0,0.15,6.21,0.96,188
4,GT,Dickeya,16.27,0.63,1.0,0.0,6.16,0.25,90
5,GT,Musicola,15.0,0.0,1.0,0.0,6.67,0.0,2
6,PL,Pectobacterium,7.82,0.71,2.8,0.8,36.04,10.78,188
7,PL,Dickeya,7.91,0.71,2.26,0.69,28.47,8.92,90
8,PL,Musicola,5.0,0.0,2.0,0.0,40.0,0.0,2
9,CE,Pectobacterium,5.79,0.42,0.46,0.68,7.77,11.37,188
10,CE,Dickeya,6.2,0.5,0.0,0.0,0.0,0.0,90
11,CE,Musicola,6.0,0.0,0.0,0.0,0.0,0.0,2
12,AA,Pectobacterium,1.01,0.08,0.0,0.0,0.0,0.0,150
13,AA,Dickeya,1.0,0.0,0.0,0.0,0.0,0.0,47
14,CBM,Pectobacterium,5.11,0.8,0.95,0.22,18.95,5.55,188
15,CBM,Dickeya,4.02,0.7,1.07,0.25,26.93,5.56,90
16,CBM,Musicola,2.0,0.0,1.0,0.0,50.0,0.0,2
