,CAZyClass,Genus,MeanTotalFams,SdTotalFams,MeanFams,SdFams,MeanFamsPerc,SdFamsPerc,NumOfGenomes
0,GH,Pectobacterium,23.84,1.39,18.46,1.39,77.46,4.12,188
1,GH,Dickeya,23.94,1.41,19.48,1.38,81.33,2.74,90
2,GH,Musicola,22.0,0.0,18.0,0.0,81.82,0.0,2
3,GT,Pectobacterium,16.22,1.57,16.21,1.57,99.97,0.45,188
4,GT,Dickeya,16.27,0.63,16.16,0.74,99.31,1.96,90
5,GT,Musicola,15.0,0.0,15.0,0.0,100.0,0.0,2
6,PL,Pectobacterium,7.82,0.71,4.99,1.06,63.66,11.38,188
7,PL,Dickeya,7.91,0.71,5.02,0.94,63.35,10.64,90
8,PL,Musicola,5.0,0.0,5.0,0.0,100.0,0.0,2
9,CE,Pectobacterium,5.79,0.42,4.48,0.71,77.4,10.75,188
10,CE,Dickeya,6.2,0.5,3.98,0.21,64.42,4.45,90
11,CE,Musicola,6.0,0.0,3.0,0.0,50.0,0.0,2
12,AA,Pectobacterium,1.01,0.08,0.99,0.08,99.0,9.07,150
13,AA,Dickeya,1.0,0.0,1.0,0.0,100.0,0.0,47
14,CBM,Pectobacterium,5.11,0.8,1.94,0.23,38.94,7.86,188
15,CBM,Dickeya,4.02,0.7,3.0,0.42,75.54,9.31,90
16,CBM,Musicola,2.0,0.0,2.0,0.0,100.0,0.0,2
