,Families,Genus,Incidence
0,e_PL1+i_CBM48,Both,279
1,i_GT0+i_GT26,Both,278
2,i_GH94+i_GT84,Both,97
3,i_GH19+i_GH5,Dickeya,88
4,e_CE4+e_GH153,Both,38
5,i_GT111+i_GT52,Both,9
6,e_AA10+e_GH171,Both,2
7,e_CBM5+e_GH18,Both,2
8,i_GT20+i_PL35,Both,2
9,e_CE12+e_GH36,Dickeya,3
10,e_GH16+i_GT14,Both,1
11,e_PL35+i_GH88,Dickeya,1
12,i_CE11+i_GH32+i_GT4,Both,279
13,i_CE11+i_GH32+i_GT4+i_PL2,Pectobacterium,187
14,e_PL1+i_CBM48+i_GT0+i_GT26+i_GT56,Pectobacterium,187
15,e_CBM50+e_GH103+e_GH23+e_PL9+i_GH1+i_GH105+i_GH13+i_GH23+i_GH3+i_GT19+i_GT2+i_GT30+i_GT51+i_GT9,Both,280
16,e_CBM32+e_CBM50+e_GH103+e_GH23+e_GH28+e_PL3+e_PL9+i_CE9+i_GH1+i_GH105+i_GH13+i_GH23+i_GH3+i_GH43+i_GT19+i_GT2+i_GT28+i_GT30+i_GT51+i_GT9+i_PL22,Pectobacterium,188
17,e_CBM50+e_CE8+e_GH102+e_GH103+e_GH23+e_GH8+e_GT4+e_PL1+e_PL3+e_PL9+i_CBM48+i_CBM50+i_CE11+i_CE4+i_GH1+i_GH104+i_GH105+i_GH13+i_GH23+i_GH28+i_GH3+i_GH31+i_GH32+i_GH33+i_GT1+i_GT19+i_GT2+i_GT30+i_GT35+i_GT4+i_GT41+i_GT5+i_GT51+i_GT9,Dickeya,90
