,Family,Genus,MeanFreq,SdFreq
0,e_CBM50,Pectobacterium,2.98,0.13
14,e_CBM50,Dickeya,2.98,0.15
28,e_CBM50,Musicola,3.0,0.0
1,e_GH103,Pectobacterium,1.41,0.49
15,e_GH103,Dickeya,1.82,0.38
29,e_GH103,Musicola,1.0,0.0
2,e_GH23,Pectobacterium,3.93,1.09
16,e_GH23,Dickeya,2.59,0.77
30,e_GH23,Musicola,2.0,0.0
31,e_PL9,Musicola,2.0,0.0
3,e_PL9,Pectobacterium,1.82,0.38
17,e_PL9,Dickeya,2.62,0.55
32,i_GH1,Musicola,6.0,1.0
4,i_GH1,Pectobacterium,9.35,1.13
18,i_GH1,Dickeya,4.69,0.74
33,i_GH105,Musicola,2.0,0.0
19,i_GH105,Dickeya,2.09,0.35
5,i_GH105,Pectobacterium,1.99,0.07
34,i_GH13,Musicola,2.0,0.0
20,i_GH13,Dickeya,1.97,0.18
6,i_GH13,Pectobacterium,2.91,0.41
21,i_GH23,Dickeya,3.4,1.36
7,i_GH23,Pectobacterium,2.93,0.88
35,i_GH23,Musicola,2.0,0.0
22,i_GH3,Dickeya,2.39,0.55
36,i_GH3,Musicola,2.0,0.0
8,i_GH3,Pectobacterium,2.14,0.39
23,i_GT19,Dickeya,1.0,0.0
37,i_GT19,Musicola,1.0,0.0
9,i_GT19,Pectobacterium,1.0,0.0
10,i_GT2,Pectobacterium,8.86,2.16
24,i_GT2,Dickeya,11.54,2.18
38,i_GT2,Musicola,8.0,0.0
25,i_GT30,Dickeya,1.0,0.0
39,i_GT30,Musicola,1.0,0.0
11,i_GT30,Pectobacterium,1.0,0.0
40,i_GT51,Musicola,3.0,0.0
12,i_GT51,Pectobacterium,3.05,0.41
26,i_GT51,Dickeya,3.0,0.15
27,i_GT9,Dickeya,4.06,0.23
13,i_GT9,Pectobacterium,3.55,0.59
41,i_GT9,Musicola,4.0,0.0
