,Family,Genus,MeanFreq,SdFreq
0,e_CBM50,Dickeya,2.98,0.15
1,e_CE8,Dickeya,1.79,0.41
2,e_GH102,Dickeya,1.0,0.0
3,e_GH103,Dickeya,1.82,0.38
4,e_GH23,Dickeya,2.59,0.77
5,e_GH8,Dickeya,1.0,0.0
6,e_GT4,Dickeya,1.0,0.0
7,e_PL1,Dickeya,5.13,0.67
8,e_PL3,Dickeya,1.0,0.0
9,e_PL9,Dickeya,2.62,0.55
10,i_CBM48,Dickeya,1.23,0.42
11,i_CBM50,Dickeya,1.01,0.1
12,i_CE11,Dickeya,1.0,0.0
13,i_CE4,Dickeya,1.0,0.0
14,i_GH1,Dickeya,4.69,0.74
15,i_GH104,Dickeya,1.3,0.64
16,i_GH105,Dickeya,2.09,0.35
17,i_GH13,Dickeya,1.97,0.18
18,i_GH23,Dickeya,3.4,1.36
19,i_GH28,Dickeya,1.56,0.72
20,i_GH3,Dickeya,2.39,0.55
21,i_GH31,Dickeya,1.0,0.0
22,i_GH32,Dickeya,1.24,0.43
23,i_GH33,Dickeya,1.39,0.49
24,i_GT1,Dickeya,1.89,0.31
25,i_GT19,Dickeya,1.0,0.0
26,i_GT2,Dickeya,11.54,2.18
27,i_GT30,Dickeya,1.0,0.0
28,i_GT35,Dickeya,2.0,0.0
29,i_GT4,Dickeya,7.08,2.01
30,i_GT41,Dickeya,1.02,0.15
31,i_GT5,Dickeya,1.0,0.0
32,i_GT51,Dickeya,3.0,0.15
33,i_GT9,Dickeya,4.06,0.23
