,Family,Genus,MeanFreq,SdFreq
0,e_CBM32,Pectobacterium,1.0,0.0
1,e_CBM50,Pectobacterium,2.98,0.13
2,e_GH103,Pectobacterium,1.41,0.49
3,e_GH23,Pectobacterium,3.93,1.09
4,e_GH28,Pectobacterium,2.89,0.38
5,e_PL3,Pectobacterium,1.0,0.0
6,e_PL9,Pectobacterium,1.82,0.38
7,i_CE9,Pectobacterium,1.11,0.31
8,i_GH1,Pectobacterium,9.35,1.13
9,i_GH105,Pectobacterium,1.99,0.07
10,i_GH13,Pectobacterium,2.91,0.41
11,i_GH23,Pectobacterium,2.93,0.88
12,i_GH3,Pectobacterium,2.14,0.39
13,i_GH43,Pectobacterium,2.27,0.7
14,i_GT19,Pectobacterium,1.0,0.0
15,i_GT2,Pectobacterium,8.86,2.16
16,i_GT28,Pectobacterium,1.0,0.0
17,i_GT30,Pectobacterium,1.0,0.0
18,i_GT51,Pectobacterium,3.05,0.41
19,i_GT9,Pectobacterium,3.55,0.59
20,i_PL22,Pectobacterium,1.0,0.0
