,Family,Genus,MeanFreq,SdFreq
0,e_CBM50,Musicola,3.0,0.0
1,e_CE1,Musicola,1.0,0.0
2,e_CE12,Musicola,1.0,0.0
3,e_CE8,Musicola,1.0,0.0
4,e_GH102,Musicola,1.0,0.0
5,e_GH103,Musicola,1.0,0.0
6,e_GH23,Musicola,2.0,0.0
7,e_GH28,Musicola,1.0,0.0
8,e_GH3,Musicola,1.0,0.0
9,e_GH30,Musicola,1.0,0.0
10,e_GH8,Musicola,1.0,0.0
11,e_GT4,Musicola,1.0,0.0
12,e_PL1,Musicola,4.0,0.0
13,e_PL9,Musicola,2.0,0.0
14,i_CBM48,Musicola,2.0,0.0
15,i_CBM50,Musicola,1.0,0.0
16,i_CE11,Musicola,1.0,0.0
17,i_CE4,Musicola,1.0,0.0
18,i_CE9,Musicola,1.0,0.0
19,i_GH1,Musicola,6.0,1.0
20,i_GH104,Musicola,1.0,0.0
21,i_GH105,Musicola,2.0,0.0
22,i_GH13,Musicola,2.0,0.0
23,i_GH19,Musicola,1.0,0.0
24,i_GH2,Musicola,1.0,0.0
25,i_GH23,Musicola,2.0,0.0
26,i_GH24,Musicola,1.0,0.0
27,i_GH28,Musicola,1.0,0.0
28,i_GH3,Musicola,2.0,0.0
29,i_GH31,Musicola,1.0,0.0
30,i_GH32,Musicola,1.0,0.0
31,i_GH33,Musicola,2.0,0.0
32,i_GH36,Musicola,1.0,0.0
33,i_GH38,Musicola,1.0,0.0
34,i_GH5,Musicola,1.0,0.0
35,i_GH73,Musicola,1.0,0.0
36,i_GH77,Musicola,1.0,0.0
37,i_GT0,Musicola,1.0,0.0
38,i_GT1,Musicola,1.0,0.0
39,i_GT19,Musicola,1.0,0.0
40,i_GT2,Musicola,8.0,0.0
41,i_GT26,Musicola,1.0,0.0
42,i_GT28,Musicola,1.0,0.0
43,i_GT30,Musicola,1.0,0.0
44,i_GT35,Musicola,2.0,0.0
45,i_GT4,Musicola,7.0,0.0
46,i_GT5,Musicola,1.0,0.0
47,i_GT51,Musicola,3.0,0.0
48,i_GT56,Musicola,1.0,0.0
49,i_GT81,Musicola,1.0,0.0
50,i_GT83,Musicola,1.0,0.0
51,i_GT9,Musicola,4.0,0.0
52,i_PL1,Musicola,2.0,0.0
53,i_PL2,Musicola,1.0,0.0
54,i_PL22,Musicola,1.0,0.0
55,i_PL38,Musicola,1.0,0.0
56,i_PL9,Musicola,1.0,0.0
