,Genome,Genus,Species,AA10,AA3,CBM13,CBM3,CBM32,CBM34,CBM4,CBM48,CBM5,CBM50,CBM63,CBM91,CE1,CE11,CE12,CE2,CE4,CE8,CE9,GH0,GH1,GH102,GH103,GH104,GH105,GH108,GH113,GH12,GH13,GH148,GH153,GH154,GH16,GH171,GH18,GH19,GH2,GH20,GH23,GH24,GH26,GH28,GH3,GH30,GH31,GH32,GH33,GH36,GH38,GH4,GH42,GH43,GH5,GH53,GH65,GH68,GH73,GH77,GH78,GH8,GH88,GH91,GH94,GT0,GT1,GT101,GT11,GT111,GT14,GT19,GT2,GT20,GT25,GT26,GT28,GT30,GT32,GT35,GT4,GT41,GT5,GT51,GT52,GT56,GT73,GT8,GT81,GT83,GT84,GT9,GT97,PL1,PL10,PL11,PL17,PL2,PL22,PL26,PL3,PL35,PL38,PL4,PL9
0,GCF_016949055.1,Pectobacterium,brasiliense A,0,1,1,1,1,0,0,2,0,5,0,0,1,1,1,0,0,2,1,0,10,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,6,2,0,3,2,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,1,1,1,0,2,4,0,1,3,0,1,0,1,0,1,0,3,0,5,0,0,0,2,1,1,1,0,1,1,2
1,GCF_013449715.1,Pectobacterium,aroidearum,0,1,1,1,1,0,0,2,0,4,1,0,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,1,3,0,1,0,0,0,0,0,1,0,6,3,0,5,3,0,1,1,1,0,0,1,1,2,1,2,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,6,0,0,1,1,1,1,2,4,1,1,3,0,1,0,2,1,1,0,2,0,6,0,0,0,2,1,1,2,1,1,1,2
2,GCF_013449385.1,Pectobacterium,carotovorum,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,8,0,0,1,1,1,0,2,2,1,1,3,0,1,0,1,1,1,1,3,0,6,0,1,0,2,1,1,2,0,1,1,2
3,GCF_013449495.1,Pectobacterium,carotovorum,0,1,1,1,1,0,0,2,0,5,1,1,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,5,2,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,8,0,0,1,1,1,1,2,4,1,1,3,0,1,0,2,1,1,1,3,0,6,0,1,0,2,1,1,2,0,1,1,2
4,GCF_003382585.2,Pectobacterium,aquaticum,0,0,1,1,1,0,0,2,0,5,1,1,1,1,1,0,1,1,1,0,8,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,5,1,0,3,2,0,1,1,0,1,1,1,1,2,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,1,1,1,0,2,4,0,1,3,0,1,0,2,0,0,1,3,0,4,0,0,0,2,1,1,1,0,1,1,2
5,GCF_002983505.1,Pectobacterium,versatile A,0,1,1,1,1,0,0,2,0,5,1,1,1,1,1,0,1,2,1,2,10,1,1,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,6,2,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,6,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,0,1,1,4,0,6,0,0,0,2,1,1,2,0,1,1,2
6,GCF_009931295.1,Pectobacterium,carotovorum,0,1,1,1,1,0,0,2,0,4,1,0,1,1,1,0,0,2,1,0,8,1,1,0,2,0,0,1,4,0,0,0,0,0,0,0,1,0,8,3,0,4,3,0,0,2,1,1,0,3,1,1,1,2,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,7,0,1,1,1,1,0,2,6,1,1,3,0,1,0,1,1,1,1,3,0,5,0,0,0,2,1,1,2,0,1,1,2
7,GCF_003628675.1,Pectobacterium,parmentieri,0,0,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,2,0,8,1,1,0,2,1,0,1,3,0,1,0,0,0,0,0,1,0,6,1,0,3,3,0,1,1,1,2,0,0,2,3,1,2,1,0,1,1,0,1,0,0,0,2,1,0,0,1,0,1,11,0,0,1,1,1,0,2,6,0,1,3,1,1,0,2,0,1,0,3,0,4,0,0,0,2,1,1,1,0,1,1,2
8,GCF_016949355.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,10,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
9,GCF_000738105.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,6,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,7,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
10,GCF_016949835.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,8,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
11,GCF_016944235.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,8,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
12,GCF_016949235.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,8,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
13,GCF_016949345.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,0,10,1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,6,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,11,0,1,1,1,1,1,2,4,0,1,3,0,1,0,2,1,1,0,3,0,6,0,0,0,2,1,0,2,0,1,1,2
14,GCF_000808385.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,7,0,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,7,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
15,GCF_000024645.1,Pectobacterium,parmentieri,0,0,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,2,0,7,1,1,0,2,1,0,1,3,0,1,0,0,0,0,0,1,0,8,0,0,3,3,0,1,1,1,2,0,0,2,3,1,2,1,0,1,1,0,1,0,0,0,2,1,0,0,1,0,1,11,0,1,1,1,1,1,2,7,0,1,3,1,1,0,2,0,1,0,3,0,5,0,0,0,2,1,1,1,0,1,1,2
16,GCF_002904255.1,Pectobacterium,carotovorum,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,0,2,1,1,9,1,1,0,2,0,0,1,4,0,0,0,0,0,0,0,1,0,8,2,0,4,2,0,0,2,1,0,0,3,1,1,1,2,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,1,1,1,1,1,3,0,6,0,1,0,2,1,1,2,0,1,1,2
17,GCF_003382565.2,Pectobacterium,aquaticum,0,0,1,1,1,0,0,2,0,5,1,2,1,1,1,0,1,1,1,0,8,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,8,1,0,3,2,0,1,1,1,1,1,1,1,2,1,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,1,1,1,0,2,2,1,1,3,0,1,0,1,0,0,1,3,0,4,0,0,0,2,1,0,1,0,1,1,2
18,GCF_003049805.1,Dickeya,fangzhongdai,0,1,1,0,1,0,1,2,1,5,1,1,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,2,1,0,0,0,0,0,2,1,0,6,0,1,3,3,1,1,1,2,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,1,11,0,0,1,1,1,0,2,10,1,1,3,0,1,0,0,1,1,0,4,0,7,1,0,0,1,1,1,2,0,1,1,3
19,GCF_016949155.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,1,2,10,1,2,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,7,2,0,4,2,1,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,9,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,3,0,6,0,0,0,2,1,1,2,0,1,1,2
20,GCF_016949275.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,10,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
21,GCF_016949915.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,0,10,1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,12,0,1,1,1,1,1,2,4,0,1,3,0,1,0,2,1,1,0,3,0,6,0,0,0,2,1,1,2,0,1,1,2
22,GCF_000365345.1,Dickeya,solani,0,1,1,0,0,0,0,2,1,5,1,0,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,5,0,1,4,3,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,1,14,0,0,1,1,1,0,2,9,1,1,3,0,1,0,0,1,1,0,4,0,7,0,0,0,1,1,1,2,0,1,1,3
23,GCF_017897245.1,Dickeya,oryzae,0,0,0,0,0,0,0,2,1,5,0,0,1,1,1,0,1,1,1,0,4,1,2,1,2,0,1,0,2,0,0,0,0,0,0,2,2,0,7,1,0,2,3,1,1,1,2,1,0,0,1,0,1,1,0,0,2,1,0,1,0,0,1,1,2,0,0,0,0,1,10,0,0,1,1,1,0,2,9,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,0,2,0,1,1,3
24,GCF_007210685.1,Dickeya,chrysanthemi,0,0,0,0,0,0,0,2,1,5,1,0,1,1,1,0,1,2,1,2,5,1,2,2,2,0,0,0,2,0,0,0,0,0,0,1,1,0,6,1,0,4,3,0,1,1,1,1,0,0,1,2,1,1,0,0,2,1,1,1,0,0,0,1,2,0,0,0,0,1,9,0,0,1,1,1,0,2,9,1,1,3,0,1,0,0,1,1,0,4,0,8,1,0,0,1,1,0,2,0,1,2,3
25,GCF_015709085.1,Pectobacterium,aroidearum,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,1,0,9,1,2,0,2,0,0,1,3,0,1,0,0,0,0,0,1,0,7,2,0,5,2,0,1,1,1,0,0,1,1,2,1,2,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,9,0,0,1,1,1,0,2,3,1,1,3,0,1,0,4,1,1,0,4,0,6,0,0,0,2,1,1,2,1,1,1,2
26,GCF_016944555.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,1,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,2,0,0,0,0,0,0,0,1,0,10,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
27,GCF_013334145.1,Dickeya,solani,0,1,1,0,0,0,0,2,1,5,1,0,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,5,0,1,4,3,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,1,14,0,0,1,1,1,0,2,9,1,1,3,0,1,0,0,1,1,0,4,0,7,0,0,0,1,1,1,2,0,1,1,3
28,GCF_016949885.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,8,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
29,GCF_016949695.1,Pectobacterium,polaris,0,1,2,1,1,0,0,2,0,5,1,1,1,1,1,0,0,2,1,0,9,1,2,0,2,1,0,1,3,0,0,0,0,0,0,0,1,0,8,3,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,9,0,0,1,1,1,1,2,3,1,1,3,0,1,0,2,1,1,0,4,0,6,0,1,0,2,1,1,2,0,1,1,2
30,GCF_000294535.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,5,2,0,4,2,1,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,9,0,0,1,1,1,0,2,6,1,1,3,0,1,0,0,1,1,0,3,0,6,0,0,0,2,1,1,2,0,1,1,2
31,GCF_000023565.1,Dickeya,chrysanthemi,0,0,0,0,2,0,0,2,1,5,1,0,1,1,1,0,1,2,1,0,5,1,2,2,2,0,0,0,2,0,0,0,0,0,0,1,1,0,6,1,0,4,3,0,1,1,1,1,0,0,1,2,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0,1,10,0,0,1,1,1,0,2,9,1,1,3,0,1,0,0,1,1,0,4,0,7,1,0,0,1,1,1,2,0,1,2,3
32,GCF_016944615.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,8,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,9,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
33,GCF_016949145.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,0,11,1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,7,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,9,0,1,1,1,1,0,2,3,0,1,3,0,1,0,1,1,1,0,5,0,6,0,0,0,2,1,0,2,0,1,1,2
34,GCF_002812485.1,Dickeya,fangzhongdai,0,1,2,0,0,0,0,2,1,5,1,0,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,6,1,1,3,3,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,11,0,0,1,1,1,0,2,10,1,1,3,0,1,0,0,1,1,0,4,0,7,1,0,0,1,1,1,2,0,1,1,3
35,GCF_018634035.1,Pectobacterium,atrosepticum,0,1,1,1,1,0,0,1,0,5,1,0,1,1,1,0,1,2,1,2,9,1,1,0,2,0,0,1,3,0,1,0,0,0,0,0,1,0,6,0,0,4,3,0,1,1,1,1,0,2,1,2,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,10,0,1,1,1,1,1,2,6,1,1,4,0,1,0,1,1,1,0,4,0,6,0,0,0,2,1,1,2,0,1,1,2
